episode,steps,reward,distance_mm,success,epsilon
449,9,10.335187,7.995227,1,0.145544
450,5,11.111339,7.995227,1,0.145067
451,10,10.032220,7.230093,1,0.144593
452,5,11.111339,7.995227,1,0.144120
453,5,11.111339,7.995227,1,0.143650
454,8,10.679349,7.230093,1,0.143183
455,6,11.053219,7.230093,1,0.142717
456,5,11.111339,7.995227,1,0.142254
457,7,10.668834,7.995227,1,0.141793
458,5,11.111339,7.995227,1,0.141335
459,5,11.111339,7.995227,1,0.140879
460,7,10.785232,7.995227,1,0.140425
461,5,11.111339,7.995227,1,0.139974
462,5,11.111339,7.995227,1,0.139524
463,5,11.111339,7.995227,1,0.139077
464,5,11.111339,7.995227,1,0.138632
465,6,11.181177,4.879316,1,0.138190
466,5,11.111339,7.995227,1,0.137749
467,5,11.111339,7.995227,1,0.137311
468,5,11.111339,7.995227,1,0.136875
469,7,10.804472,7.995227,1,0.136441
470,5,11.066676,7.995227,1,0.136010
471,5,11.111339,7.995227,1,0.135580
472,5,11.111339,7.995227,1,0.135153
473,5,11.111339,7.995227,1,0.134728
474,6,11.195654,4.879316,1,0.134304
475,6,11.233477,4.879316,1,0.133883
476,7,10.656963,7.995227,1,0.133465
477,5,11.111339,7.995227,1,0.133048
478,5,11.111339,7.995227,1,0.132633
479,8,10.465282,7.230093,1,0.132220
480,7,10.380138,7.995227,1,0.131810
481,5,11.111339,7.995227,1,0.131401
482,9,10.122263,7.995227,1,0.130995
483,5,11.111339,7.995227,1,0.130590
484,5,11.111339,7.995227,1,0.130188
485,9,9.940115,7.995227,1,0.129787
486,5,11.111339,7.995227,1,0.129389
487,9,10.262062,7.995227,1,0.128993
488,9,10.257730,7.995227,1,0.128598
489,5,11.111339,7.995227,1,0.128206
490,7,10.727947,7.995227,1,0.127815
491,5,11.111339,7.995227,1,0.127426
492,7,10.476346,7.995227,1,0.127040
493,5,11.111339,7.995227,1,0.126655
494,11,9.110644,7.995227,1,0.126272
495,5,11.111339,7.995227,1,0.125891
496,5,11.111339,7.995227,1,0.125512
497,5,11.111339,7.995227,1,0.125135
498,8,10.991257,4.879316,1,0.124760
499,9,9.765855,7.995227,1,0.124387
500,8,10.638298,7.230093,1,0.124015
501,5,11.111339,7.995227,1,0.123646
502,5,11.111339,7.995227,1,0.123278
503,5,11.111339,7.995227,1,0.122912
504,5,11.111339,7.995227,1,0.122548
505,5,11.111339,7.995227,1,0.122186
506,8,10.231216,7.230093,1,0.121825
507,5,11.111339,7.995227,1,0.121466
508,7,10.303716,7.995227,1,0.121110
509,7,10.661294,7.995227,1,0.120754
510,5,11.111339,7.995227,1,0.120401
511,8,10.907370,4.879316,1,0.120050
512,5,11.111339,7.995227,1,0.119700
513,5,11.111339,7.995227,1,0.119352
514,5,11.111339,7.995227,1,0.119005
515,5,11.111339,7.995227,1,0.118661
516,5,11.111339,7.995227,1,0.118318
517,5,11.066676,7.995227,1,0.117977
518,7,10.804472,7.995227,1,0.117637
519,7,10.521496,7.995227,1,0.117300
520,5,11.111339,7.995227,1,0.116963
521,7,11.243172,4.066264,1,0.116629
522,5,11.111339,7.995227,1,0.116296
523,5,11.111339,7.995227,1,0.115965
524,5,11.111339,7.995227,1,0.115636
525,7,10.380138,7.995227,1,0.115308
526,5,11.111339,7.995227,1,0.114982
527,7,10.502604,7.995227,1,0.114657
528,5,11.111339,7.995227,1,0.114335
529,5,11.111339,7.995227,1,0.114013
530,5,11.111339,7.995227,1,0.113694
531,5,11.111339,7.995227,1,0.113376
532,5,11.111339,7.995227,1,0.113059
533,7,10.477720,7.995227,1,0.112744
534,7,10.852040,7.995227,1,0.112431
535,9,10.073270,7.995227,1,0.112119
536,5,11.111339,7.995227,1,0.111809
537,5,11.111339,7.995227,1,0.111500
538,12,9.961140,7.230093,1,0.111193
539,10,9.668522,4.879316,1,0.110888
540,5,11.111339,7.995227,1,0.110583
541,5,11.111339,7.995227,1,0.110281
542,7,10.712106,7.995227,1,0.109980
543,11,9.604013,7.995227,1,0.109680
544,5,11.111339,7.995227,1,0.109382
545,5,11.111339,7.995227,1,0.109086
546,5,11.111339,7.995227,1,0.108791
547,9,9.472472,7.995227,1,0.108497
548,7,10.766884,7.995227,1,0.108205
549,5,11.111339,7.995227,1,0.107914
550,5,11.111339,7.995227,1,0.107625
551,7,10.355698,7.995227,1,0.107337
552,5,11.111339,7.995227,1,0.107051
553,7,10.766884,7.995227,1,0.106766
554,5,11.111339,7.995227,1,0.106483
555,5,11.111339,7.995227,1,0.106201
556,5,11.111339,7.995227,1,0.105920
557,5,11.111339,7.995227,1,0.105641
558,5,11.111339,7.995227,1,0.105363
559,7,10.502604,7.995227,1,0.105086
560,5,11.111339,7.995227,1,0.104811
561,5,11.111339,7.995227,1,0.104538
562,5,11.111339,7.995227,1,0.104265
563,5,11.111339,7.995227,1,0.103994
564,6,11.164835,4.879316,1,0.103725
565,5,11.111339,7.995227,1,0.103456
566,5,11.111339,7.995227,1,0.103189
567,8,10.734178,4.879316,1,0.102924
568,5,11.111339,7.995227,1,0.102659
569,7,10.766884,7.995227,1,0.102397
570,5,11.111339,7.995227,1,0.102135
571,7,10.785232,7.995227,1,0.101875
572,6,11.279358,4.879316,1,0.101615
573,5,11.111339,7.995227,1,0.101358
