#{"t_start": 1781192784.7854083, "env_id": "None"}
r,l,t,distance_mm,is_success
12.443822,7,2.600811,7.065683218947131,True
13.085898,4,2.60143,6.692282901063838,True
11.207446,13,2.603263,7.340929424602441,True
13.226228,17,2.605629,5.75054165707996,True
13.200399,11,2.607204,6.891384699824105,True
13.861777,7,2.608239,7.085359785488114,True
13.678409,7,2.609266,3.7696458029219966,True
11.749702,16,2.611493,7.481959414021352,True
11.069873,22,2.614528,7.68892320105103,True
9.478843,21,2.617422,3.090600850550788,True
14.71887,7,2.618454,5.225431876712546,True
12.290391,6,2.619347,7.917519036372945,True
10.313368,19,2.621984,7.9058525877553,True
11.577338,7,2.623022,7.825762657126496,True
12.907253,16,2.625245,2.9455282064777126,True
12.95394,9,2.626543,2.706331069242775,True
13.068217,8,2.627717,5.032617921578056,True
14.493653,4,2.628337,6.544703750245542,True
12.432369,8,2.62949,7.623972810407053,True
15.521123,4,2.630118,6.73430930636253,True
12.672,7,2.63115,7.444053564329555,True
13.170118,3,2.631641,6.558187880971301,True
14.760954,9,2.632942,4.7487713682618145,True
14.929605,7,2.633998,6.185722238935426,True
11.723746,12,2.635713,3.8898882676462074,True
14.489178,8,2.636905,5.944033448815617,True
14.710704,4,2.637524,6.331153885537008,True
12.746833,15,2.639608,2.2808003809476336,True
12.554948,16,2.641842,7.178912361990545,True
14.070895,4,2.64246,6.4798643260577835,True
11.446403,8,2.643621,7.504435285462165,True
16.780927,4,2.644246,3.3597145031399807,True
14.912682,6,2.645127,4.398331642299499,True
9.33624,25,2.648544,6.963831145394963,True
11.947,6,2.649445,7.404669741119887,True
13.232607,15,2.651533,5.096647246529018,True
11.626059,10,2.65297,7.412622719182853,True
9.143559,25,2.656459,7.576972716024396,True
13.67327,7,2.657504,2.773401852294746,True
9.048356,24,2.660832,5.359498891207249,True
13.215768,8,2.662004,6.564221506153065,True
13.515232,7,2.663049,5.353233025785959,True
12.091412,15,2.730098,4.150559881252367,True
10.465832,16,2.732416,6.065770279259904,True
14.102042,9,2.733772,6.000476014575285,True
13.594391,7,2.734832,5.809533725107757,True
13.12154,4,2.735454,4.794654832110909,True
12.124369,8,2.736651,4.8539311939008645,True
11.721663,10,2.738108,7.360685871598616,True
13.21625,6,2.739014,7.769104421240273,True
13.858074,3,2.739505,4.88056331481315,True
13.578643,8,2.740675,6.086116890343242,True
13.57615,8,2.741843,5.498954864208056,True
12.152817,3,2.74233,7.542231564696398,True
11.763605,14,2.744298,7.098738064212538,True
13.461048,4,2.744929,7.985748553320366,True
15.161472,7,2.745953,6.371267122442644,True
12.417378,5,2.746709,5.670882211645169,True
8.986574,21,2.749624,7.682378637194767,True
13.104487,4,2.750261,5.570474498135954,True
12.733848,10,2.751704,2.96056224884865,True
13.662488,6,2.752592,3.2607588439242123,True
13.220979,10,2.754034,4.157413175636568,True
14.946862,3,2.75452,5.433435891873244,True
14.760567,6,2.755414,7.790741073451729,True
13.354228,4,2.756042,6.965409837142597,True
13.43967,5,2.7568,3.9010306848367575,True
14.689916,4,2.757422,1.0152659491221907,True
12.616251,2,2.75777,7.431145868192829,True
11.478865,14,2.759737,6.773758956748673,True
12.737608,11,2.761321,7.854321837119966,True
14.401909,3,2.76182,3.0877109390682387,True
11.888069,13,2.763674,7.716561934483488,True
13.286594,9,2.764997,6.875424659168706,True
13.976964,7,2.766046,7.918960186920844,True
13.580436,5,2.76681,6.070709994473281,True
12.709363,8,2.76798,7.654709706390896,True
13.640307,2,2.76833,6.1076067427029255,True
14.686359,6,2.769229,7.8169446360855215,True
14.018343,5,2.769997,5.243039749145642,True
12.533387,9,2.771302,5.129196608569323,True
13.19295,8,2.77247,4.84202638078205,True
10.963391,16,2.774722,7.991801707355302,True
12.253787,16,2.776967,6.5016837691168305,True
13.712563,5,2.777755,7.2985325479929815,True
12.879677,5,2.778516,7.720228377079934,True
12.538559,9,2.779825,7.276996658127322,True
11.433639,19,2.782483,5.0936729139918056,True
12.91331,11,2.784064,6.592550007135851,True
15.7066,3,2.784554,4.978430781428862,True
11.648121,9,2.78586,6.2568715621054025,True
10.307288,20,2.788661,6.518707304213263,True
12.950133,3,2.789173,6.503205758452025,True
10.72564,26,2.792774,5.3235101263463465,True
13.070868,8,2.793947,7.474458562318333,True
11.985516,7,2.794988,7.170552329115383,True
15.097123,5,2.795755,5.713809321942599,True
13.527859,7,2.796789,5.297513744156114,True
14.930565,6,2.797697,5.227570062608734,True
10.475981,20,2.800493,7.51796618096539,True
11.121348,18,2.803023,6.118691387102886,True
12.724664,10,2.804472,4.34275984672184,True
12.333674,15,2.806589,7.573739616297397,True
13.310261,6,2.807494,7.815922419786739,True
13.601747,8,2.808665,7.383757195840759,True
13.02253,4,2.809296,7.256676835578755,True
14.223363,7,2.81033,2.311797269230847,True
13.120215,8,2.811504,6.6735817712672825,True
10.371958,19,2.814162,5.545319665646815,True
12.79278,5,2.814935,7.5407242817143505,True
11.875049,3,2.815422,7.177931303506672,True
12.892331,14,2.817403,5.350470798232373,True
14.389332,8,2.818585,2.8989560314898664,True
14.789257,6,2.819484,4.096378619932504,True
13.431482,10,2.820937,6.964301263738032,True
13.50187,9,2.822237,5.524008066228366,True
13.692508,7,2.823273,3.9632308176356013,True
12.313524,19,2.825928,6.127962046477862,True
13.825496,4,2.826555,6.60443813081954,True
12.446615,9,2.827869,6.271470538728575,True
14.284498,8,2.829046,5.832751946783864,True
13.747218,6,2.829952,5.413480362327382,True
